id,question,response,category,topic,row_type,source_url,note
106,YABATECH records email,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
107,"For a learner, YABATECH records email briefly",The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
108,Quick question: YABATECH records email,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
109,Can I get YABATECH contact email?,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
110,Please answer: Can I get YABATECH contact email? on YABATECH website,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
111,Quick question: Can I get YABATECH contact email? as a chatbot response,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
112,What email can students use for YABATECH?,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
113,Class question: What email can students use for YABATECH?,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
114,Student asked: What email can students use for YABATECH? as a chatbot response,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
115,YABATECH official email address please,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
116,Please answer: YABATECH official email address please briefly,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
117,"In simple words, YABATECH official email address please for admission learners",The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
118,How do I contact YABATECH by email?,The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
119,"For a learner, How do I contact YABATECH by email? on YABATECH website",The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
120,"In simple words, How do I contact YABATECH by email? for students",The official emails listed are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,contact,email,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
121,What is the vision of YABATECH?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
122,"In simple words, What is the vision of YABATECH?","YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
123,Can you explain: What is the vision of YABATECH? today,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
124,State YABATECH vision,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
125,State YABATECH vision,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
126,Please answer: State YABATECH vision on YABATECH website,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
127,Tell me YABATECH's vision statement,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
128,"In simple words, Tell me YABATECH's vision statement in simple terms","YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
129,Tell me YABATECH's vision statement today,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
130,What does YABATECH want to become?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
131,Class question: What does YABATECH want to become?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
132,Help me answer: What does YABATECH want to become? briefly,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
133,Explain the vision statement of YABATECH,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
134,Can you explain: Explain the vision statement of YABATECH please,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
135,Please answer: Explain the vision statement of YABATECH in simple terms,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
136,What is YABATECH's institutional vision?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
137,Can you explain: What is YABATECH's institutional vision?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
138,"In simple words, What is YABATECH's institutional vision? today","YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
139,YABATECH vision please,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
140,Can you explain: YABATECH vision please as a chatbot response,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
141,Quick question: YABATECH vision please please,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
142,What is the goal of YABATECH as an institution?,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,official_fact,https://www.yabatech.edu.ng/vision.php,current as checked on 2026-05-12
143,Quick question: What is the goal of YABATECH as an institution? on YABATECH website,"YABATECH's vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education to students who can make positive technological and socio-economic impact.",vision_mission,vision,generated_variation,https://www.yabatech.edu.ng/vision.php,derived from official site fact; verify before public deployment
